Name,Address,Lat,Lon,Category,Reviews
Restaurante Mexicano La Raza,"6815 196th St SW Ste G Lynnwood, WA 98036",47.8218798,-122.3259797,mexican,188
Pecado Bueno,"4307 Fremont Ave N Fremont Seattle, WA 98103",47.6592487,-122.3503312,mexican,341
Fogón Cocina Mexicana,"600 E Pine St Capitol Hill Seattle, WA 98122",47.6154187,-122.3241733,mexican,393
Taqueria La Estacion,"14820 Ambaum Blvd SW Burien, WA 98166",47.4696205,-122.3462585,mexican,128
El Borracho,"1521 1st Ave Downtown Seattle, WA 98101",47.6093214,-122.3407154,mexican,180
Casa Patrón,"805 NE 65th St Roosevelt Seattle, WA 98115",47.6756731,-122.3194878,mexican,135
El Quetzal,"3209 Beacon Ave S Beacon Hill Seattle, WA 98144",47.5747122,-122.3093485,mexican,182
Los Agaves,"Pike Place Market 1514 Pike Pl, Ste 7 Downtown Seattle, WA 98101",47.6088367,-122.3419283,mexican,134
Plaza Garibaldi,"129 1st Ave N Lower Queen Anne Seattle, WA 98109",47.6194455,-122.3556995,mexican,155
El Burrito Loco,"314 Park Ave N Renton, WA 98057",47.4873721,-122.20189,mexican,99
Chavez,"1734 12th Ave Capitol Hill Seattle, WA 98122",47.6168384,-122.3168738,mexican,49
Huarachitos Cocina Mexicana,"4219 S Othello St Brighton Seattle, WA 98118",47.5365644,-122.2804371,mexican,58
El Ranchon,"3416 W McGraw St Magnolia Seattle, WA 98199",47.6398418,-122.4018696,mexican,83
Guanaco's Tacos Pupuseria,"4106 Brooklyn Ave NE Ste 102A University District Seattle, WA 98105",47.657144,-122.314045,mexican,211
Mendoza's Mexican Mercado,"7811 Aurora Ave N Phinney Ridge Seattle, WA 98103",47.6859467,-122.3448023,mexican,32
Casa Guerrero,"402 164th St SW Ste 105 Lynnwood, WA 98087",47.8494857,-122.2385856,mexican,154
Señor Moose Café,"5242 Leary Ave NW Ballard Seattle, WA 98107",47.6666359,-122.381635,mexican,633
Santa Fe Mexican Grill,"12709 NE 124th St Kirkland, WA 98034",47.7098222,-122.1711499,mexican,181
Cactus Restaurants,"121 Park Ln Kirkland, WA 98033",47.6760135,-122.2058025,mexican,418
Los Bigotes de Villa,"30420 Pacific Hwy S Ste 3 Federal Way, WA 98003",47.3288012,-122.3120592,mexican,134
Taqueria La Fondita #2,"9811 15th Ave SW White Center Seattle, WA 98106",47.5153085,-122.3544542,mexican,163
